8190           8190ZR45000           CL218190CL51000000120.000                    20171106MB1B                9I4    Deficit of SL Unrestricted-use 42 PC : ZR45000 8190 CL51
8190           8190ZQ85910           SX518190SX91000000015.000                    20171108MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ85910 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190ZQ89830           CL218190CL51000000020.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZQ89830 8190 CL21
8190           8190ZQ91970           CL218190CL51000000020.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ91970 8190 CL21
8190           8190ZQ89940           CL218190CL51000000020.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ89940 8190 CL21
8190           8190ZQ89940           CL218190CL51000000020.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ89940 8190 CL21
8190           8190ZQ52610           FL518190FL91000000050.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 50 PC : ZQ52610 8190 FL51
8190           8190ZV28510           SX518190SX91000000015.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZV28510 8190 SX51
8190           8190ZQ91900           CL218190CL51000000020.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 14 PC : ZQ91900 8190 CL21
8190           8190ZQ87760           CL218190CL51000000020.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 13 PC : ZQ87760 8190 CL21
8190           8190ZQ93360           SX218190SX51000000015.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZQ93360 8190 SX21
8190           8190ZU44090           FL518190FL91000000005.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU44090 8190 FL51
8190           8190ZU44090           FL518190FL91000000005.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU44090 8190 FL51
8190           8190ZQ86250           SX218190SX51000000015.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZQ86250 8190 SX21
