8190           8190ZH50350           SX518190SX91000000001.000                    20171109MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZH50350 8190 SX91
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190ZY85310           SX518190SX91000000010.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZY85310 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ87840 8190 CL21
8190           8190ZQ93300           SX518190SX91000000015.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ93300 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190ZQ93300           SX518190SX91000000015.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ93300 8190 SX51
8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ87840 8190 CL21
8190           8190ZJ29990           CL518190CLB9000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZJ29990 8190 CL51
8190           8190ZJ29970           CL518190CLB9000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZJ29970 8190 CL51
8190           8190ZJ29990           CL518190CLB9000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZJ29990 8190 CL51
8190           8190ZJ29970           CL518190CLB9000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZJ29970 8190 CL51
8190           8190ZU06270           FL218190FL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU06270 8190 FL21
8190           8190ZT45640           FL218190FL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZT45640 8190 FL21
8190           8190ZQ92390           CL518190CL91000000007.000                    20171115MB1B                9I4    Deficit of SL Unrestricted-use 6 PC : ZQ92390 8190 CL91
8190           8190ZT91470           FL218190FL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZT91470 8190 FL21
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZT45070 8190 FL21
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZT45070 8190 FL21
8190           8190ZT45070           FL218190FL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZT45070 8190 FL21
8190           8190ZQ85910           SX518190SX91000000015.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 13 PC : ZQ85910 8190 SX51
8190           8190ZQ95350           SX518190SX91000000015.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ95350 8190 SX51
8190           8190ZQ94850           SX518190SX91000000015.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 9 PC : ZQ94850 8190 SX51
8190           8190ZT44660           FL218190FL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 11 PC : ZT44660 8190 FL21
8190           8190ZU03210           FL218190FL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 14 PC : ZU03210 8190 FL21
8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ87840 8190 CL21
8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ87840 8190 CL21
8190           8190ZQ87840           CL218190CL51000000020.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ87840 8190 CL21
8190           8190ZY85820           SX518190SX91000000010.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZY85820 8190 SX51
8190           8190ZY85250           SX518190SX91000000010.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZY85250 8190 SX51
8190           8190ZY84930           SX518190SX91000000010.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZY84930 8190 SX51
8190           8190ZZ32710           SX518190SX91000000010.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZZ32710 8190 SX51
8190           8190ZY84700           SX518190SX91000000010.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZY84700 8190 SX51
8190           8190ZZ32910           SX518190SX91000000010.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZZ32910 8190 SX51
8190           8190ZT43800           FL218190FL51000000005.000                    20171115MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZT43800 8190 FL21
