8190           8190ZU28470           CL518190CL91000000001.000                    20180125MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZU28470 8190 CL91
8190           8190ZK13370           SXA18190SX21000000001.000                    20180115MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZK13370 8190 SX21
8190           8190ZZ32150           SX218190SX51000000004.000                    20180119MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZZ32150 8190 SX51
8190           8190WZ91840           SX518190SX91000000005.000                    20180125MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX91
8190           8190ZQ88190           SX518190SX91000000004.000                    20180125MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZQ88190 8190 SX91
8190           8190ZT24060           SX518190SX91000000010.000                    20180125MB1B                9I4    Deficit of SL Unrestricted-use 4 PC : ZT24060 8190 SX91
8190           8190WZ91840           SX518190SX91000000006.000                    20180125MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : WZ91840 8190 SX91
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190ZW92240           CLA08190CL21000000040.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZW92240 8190 CLA0
8190           8190ZT96950           CL218190CL51000000020.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT96950 8190 CL21
8190           8190ZT96950           CL218190CL51000000020.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT96950 8190 CL21
8190           8190ZW92240           CLA08190CL21000000040.000                    20180124MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZW92240 8190 CLA0
8190           8190ZZ32150           SX218190SX51000000010.000                    20180124MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZZ32150 8190 SX21
8190           8190ZW92240           CLA08190CL21000000040.000                    20180123MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZW92240 8190 CLA0
8190           8190ZQ88190           SX518190SX91000000015.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ88190 8190 SX51
8190           8190W93543B           SX518190SX91000000005.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93543B 8190 SX51
8190           8190W93543B           SX518190SX91000000005.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93543B 8190 SX51
8190           8190W93543B           SX518190SX91000000005.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93543B 8190 SX51
8190           8190W93543B           SX518190SX91000000005.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93543B 8190 SX51
8190           8190W93543B           SX518190SX91000000005.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93543B 8190 SX51
8190           8190W93543B           SX518190SX91000000005.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93543B 8190 SX51
8190           8190ZT43760           FL518190FL91000000042.000                    20180125MB1B                9i3    Movement Type 9i3 not supported (check your entry)
8190           8190ZT95740           CL218190CL51000000020.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT95740 8190 CL21
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20180125MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
