8190           8190ZK13360           SX218190SX51000000002.000                    20180215MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZK13360 8190 SX51
8190           8190ZA1494C           SX218190SX51000000001.000                    20180215MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZA1494C 8190 SX51
8190           8190W93546B           SX518190SX91000000005.000                    20180217MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W93546B 8190 SX51
8190           8190W93546B           SX518190SX91000000005.000                    20180217MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W93546B 8190 SX51
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7633D 8190 SX21
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7633D 8190 SX21
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7633D 8190 SX21
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7633D 8190 SX21
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7633D 8190 SX21
8190           8190ZU24050           FLA18190FL51000000005.000                    20180216MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU24050 8190 FLA1
8190           8190ZT45380           FL218190FL51000000020.000                    20180216MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZT45380 8190 FL21
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7633D 8190 SX21
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7633D 8190 SX21
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7633D 8190 SX21
8190           8190ZC7633D           SX218190SX51000000001.000                    20180215MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7633D 8190 SX21
8190           8190ZU44140           FLA18190FL51000000005.000                    20180216MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU44140 8190 FLA1
8190           8190ZU44140           FLA18190FL51000000005.000                    20180216MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU44140 8190 FLA1
8190           8190ZU44140           FLA18190FL51000000005.000                    20180216MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU44140 8190 FLA1
8190           8190ZU24050           FLA18190FL51000000005.000                    20180216MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU24050 8190 FLA1
