8190           8190ZU24050           FLA18190FL51000000029.000                    20180302MB1B                9I4    Deficit of SL Unrestricted-use 18 PC : ZU24050 8190 FL51
8190           8190ZS06470           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06470 8190 SX51
8190           8190ZS06560           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06560 8190 SX51
8190           8190ZS06340           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06340 8190 SX51
8190           8190ZS06530           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06530 8190 SX51
8190           8190ZY85400           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZY85400 8190 SX51
8190           8190ZY85310           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZY85310 8190 SX51
8190           8190WK0460C           SX518190SX91000000010.000                    20180302MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : WK0460C 8190 SX51
8190           8190W93548E           SX518190SX91000000010.000                    20180302MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : W93548E 8190 SX51
8190           8190W93547E           SX518190SX91000000010.000                    20180302MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : W93547E 8190 SX51
8190           8190ZU22730           FL518190FL91000000005.000                    20180302MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZU22730 8190 FL51
8190           8190ZU22730           FL518190FL91000000005.000                    20180302MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZU22730 8190 FL51
8190           8190ZW92240           CLA08190CL21000000040.000                    20180302MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZW92240 8190 CLA0
8190           8190ZQ93870           SX218190SX51000000015.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ93870 8190 SX21
8190           8190ZQ93870           SX218190SX51000000015.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ93870 8190 SX21
8190           8190ZS06570           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06570 8190 SX51
8190           8190ZS06390           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06390 8190 SX51
8190           8190ZS06430           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06430 8190 SX51
8190           8190ZS06440           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06440 8190 SX51
8190           8190ZS06630           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06630 8190 SX51
8190           8190ZS06350           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06350 8190 SX51
8190           8190ZS06420           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06420 8190 SX51
8190           8190ZS06410           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06410 8190 SX51
8190           8190ZS06670           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06670 8190 SX51
8190           8190ZS06520           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06520 8190 SX51
8190           8190ZS06450           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06450 8190 SX51
8190           8190ZS06490           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06490 8190 SX51
8190           8190ZS06640           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06640 8190 SX51
8190           8190ZS06400           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06400 8190 SX51
8190           8190ZS06460           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06460 8190 SX51
8190           8190ZS06620           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06620 8190 SX51
8190           8190ZZ32770           SX218190SX51000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 9 PC : ZZ32770 8190 SX21
8190           8190ZS06480           SX518190SX91000000010.000                    20180303MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06480 8190 SX51
