8190           8190ZT95740           CL218190CL51000000020.000                    20180306MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT95740 8190 CL21
8190           8190ZJ32860           SX518190SX91000000001.000                    20180306MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZJ32860 8190 SX51
8190           8190ZJ32860           SX518190SX91000000001.000                    20180306MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZJ32860 8190 SX51
8190           8190ZW92240           CLA08190CL21000000040.000                    20180306MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZW92240 8190 CLA0
8190           8190VAQ2780           CL518190CLB9000000030.000                    20180306MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAQ2780 8190 CL51
8190           8190VAQ2780           CL518190CLB9000000030.000                    20180306MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAQ2780 8190 CL51
8190           8190VAQ2780           CL518190CLB9000000030.000                    20180306MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAQ2780 8190 CL51
8190           8190VAQ2780           CL518190CLB9000000030.000                    20180306MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAQ2780 8190 CL51
8190           8190ZU44140           FLA18190FL51000000005.000                    20180307MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU44140 8190 FLA1
8190           8190ZU44140           FLA18190FL51000000005.000                    20180307MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU44140 8190 FLA1
8190           8190ZU24050           FLA18190FL51000000005.000                    20180307MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU24050 8190 FLA1
8190           8190ZU24050           FLA18190FL51000000005.000                    20180307MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU24050 8190 FLA1
8190           8190ZU24050           FLA18190FL51000000005.000                    20180307MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU24050 8190 FLA1
