8190           8190VAY1350           CLB98191FSTK000000050.000                    20180626MB1B                9P1    Material VAY1350 not maintained in plant 8191
8190           8190W93548E           SX518190SX91000000018.000                    20180611MB1B                9I4    Deficit of SL Unrestricted-use 18 PC : W93548E 8190 SX91
8190           8190W936470           SX518190SX91000000001.000                    20180625MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : W936470 8190 SX91
8190           8190ZY84700           SX518190SX91000000012.000                    20180626MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZY84700 8190 SX91
8190           8190ZQ99330           SX518190SX91000000001.000                    20180626MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZQ99330 8190 SX91
8190           8190ZR01740           SX518190SX91000000013.000                    20180626MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZR01740 8190 SX91
8190           8190ZT43850           FL218190FA1R000000030.000                    20180606MB1B                9I4    Deficit of SL Unrestricted-use 20 PC : ZT43850 8190 FA1R
8190           8190ZU24050           FLA18190FL51000000037.000                    20180626MB1B                9I4    Deficit of SL Unrestricted-use 16 PC : ZU24050 8190 FL51
8190           8190ZG1270A           SX518190SX91000000033.000                    20180626MB1B                9I4    Deficit of SL Unrestricted-use 25 PC : ZG1270A 8190 SX91
8190           8190ZQ91280           SX518190SX91000000015.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ91280 8190 SX51
8190           8190ZQ91280           SX518190SX91000000015.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ91280 8190 SX51
8190           8190ZQ91280           SX518190SX91000000015.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ91280 8190 SX51
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZV28560 8190 SX51
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZV28560 8190 SX51
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZV28560 8190 SX51
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZV28560 8190 SX51
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZV28560 8190 SX51
8190           8190ZV28560           SX518190SX91000000008.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZV28560 8190 SX51
8190           8190ZY84700           SX518190SX91000000010.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZY84700 8190 SX51
8190           8190ZG1270A           SX518190SX91000000015.000                    20180625MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZG1270A 8190 SX51
8190           8190ZF65890           SX518190SX91000000001.000                    20180609MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZF65890 8190 SX51
8190           8190ZR01840           SX218190SX51000000008.000                    20180625MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZR01840 8190 SX21
8190           8190ZG1270A           SX518190SX91000000015.000                    20180625MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZG1270A 8190 SX51
8190           8190ZS06150           SX518190SX91000000015.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06150 8190 SX51
8190           8190ZS06150           SX518190SX91000000015.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZS06150 8190 SX51
8190           8190ZA1493C           SX218190SX51000000001.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1493C 8190 SX21
8190           8190ZG1270A           SX518190SX91000000015.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZG1270A 8190 SX51
8190           8190ZG1270A           SX518190SX91000000015.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZG1270A 8190 SX51
8190           8190ZQ91460           SX518190SX91000000015.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : ZQ91460 8190 SX51
8190           8190ZG1270A           SX518190SX91000000015.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZG1270A 8190 SX51
8190           8190WZ2236A           SX518190SX91000000008.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ2236A 8190 SX51
8190           8190ZR01740           SX518190SX91000000008.000                    20180626MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR01740 8190 SX51
