8190           8190WZ91370           SX518190SX91000000002.000                    20180724MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : WZ91370 8190 SX91
8190           8190VAR9930           SX518190SX91000000030.000                    20180724MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAR9930 8190 SX51
8190           8190VAR9930           SX518190SX91000000030.000                    20180724MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAR9930 8190 SX51
8190           8190VAR9930           SX518190SX91000000030.000                    20180724MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAR9930 8190 SX51
8190           8190ZU03090           FL218190FL51000000020.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 14 PC : ZU03090 8190 FL21
8190           8190ZU03090           FL218190FL51000000020.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 14 PC : ZU03090 8190 FL21
8190           8190VAR9970           CL518190CL91000000030.000                    20180724MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : VAR9970 8190 CL51
8190           8190VAR9970           CL518190CL91000000030.000                    20180724MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : VAR9970 8190 CL51
8190           8190VAR9970           CL518190CL91000000030.000                    20180724MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : VAR9970 8190 CL51
8190           8190VAR9970           CL518190CL91000000030.000                    20180724MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : VAR9970 8190 CL51
8190           8190VAR9970           CL518190CL91000000030.000                    20180724MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : VAR9970 8190 CL51
8190           8190VAS1220           SX218190SX51000000030.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190VAS1220           SX218190SX51000000030.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1220 8190 SX21
8190           8190ZT43800           FL218190FL51000000005.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43800 8190 FL21
8190           8190ZT43800           FL218190FL51000000005.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43800 8190 FL21
8190           8190ZT43800           FL218190FL51000000005.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43800 8190 FL21
8190           8190ZT43800           FL218190FL51000000005.000                    20180723MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43800 8190 FL21
