8190           8190ZW90880           SXA08191FSTK000000050.000                    20180808MB1B                9P1    Deficit of SL Unrestricted-use 50 PC : ZW90880 8190 SXA0
8190           8190ZQ96320           SX518190SX91000000002.000                    20180808MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZQ96320 8190 SX91
8190           8190W61948A           SX518190SX91000000004.000                    20180808MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : W61948A 8190 SX91
8190           8190ZT42920           SX518190SX91000000003.000                    20180808MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZT42920 8190 SX91
8190           8190ZT42920           SX518190SX91000000003.000                    20180808MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZT42920 8190 SX91
8190           8190WY9341C           SX218190SA1R000000021.000                    20180808MB1B                9I4    Deficit of SL Unrestricted-use 8 PC : WY9341C 8190 SA1R
8190           8190ZA5245C           SX218190SA1R000000002.000                    20180808MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZA5245C 8190 SA1R
8190           8190WF9525C           SX218190SA1R000000002.000                    20180808MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : WF9525C 8190 SA1R
8190           8190ZC7783E           SX218190SA1R000000009.000                    20180808MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZC7783E 8190 SA1R
8190           8190ZC7783E           SX218190SX51000000001.000                    20180808MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7783E 8190 SX21
8190           8190VAS1330           SXA08190SX21000000060.000                    20180808MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1330 8190 SXA0
8190           8190VAS1330           SXA08190SX21000000060.000                    20180808MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1330 8190 SXA0
8190           8190ZC7783E           SX218190SX51000000001.000                    20180808MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZC7783E 8190 SX21
8190           8190VAS1330           SXA08190SX21000000060.000                    20180808MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1330 8190 SXA0
8190           8190ZR23750           CL218190CL51000000020.000                    20180808MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZR23750 8190 CL21
8190           8190ZP65140           FLA08190FL91000000120.000                    20180731MB1B                9I3    In plant 8190, post to current period 2018/05
8190           8190ZZ32330           SX518190SX91000000010.000                    20180730MB1B                9I3    In plant 8190, post to current period 2018/05
8190           8190ZR01840           SX218190SX51000000008.000                    20180806MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZR01840 8190 SX21
8190           8190ZP65140           FLA08190FL91000000120.000                    20180731MB1B                9I3    In plant 8190, post to current period 2018/05
8190           8190ZR01840           SX218190SX51000000008.000                    20180804MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZR01840 8190 SX21
8190           8190ZP65140           FLA08190FL91000000120.000                    20180731MB1B                9I3    In plant 8190, post to current period 2018/05
8190           8190ZR01840           SX218190SX51000000008.000                    20180804MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZR01840 8190 SX21
8190           8190ZQ90480           CL218190CL51000000020.000                    20180801MB1B                9I3    Deficit of SL Unrestricted-use 17 PC : ZQ90480 8190 CL21
8190           8190ZQ90570           CL218190CL51000000020.000                    20180807MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90570 8190 CL21
8190           8190ZR23750           CL218190CL51000000020.000                    20180807MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZR23750 8190 CL21
8190           8190VAS0000           CL518190CL91000000010.000                    20180807MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : VAS0000 8190 CL51
8190           8190ZQ90480           CL218190CL51000000020.000                    20180807MB1B                9I3    Deficit of SL Unrestricted-use 17 PC : ZQ90480 8190 CL21
8190           8190ZP65140           FLA08190FL91000000120.000                    20180730MB1B                9I3    In plant 8190, post to current period 2018/05
8190           8190ZA1479C           SX218190SX51000000001.000                    20180807MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
