8190           8190ZC7636H           SX218190SX51000000001.000                    20180810MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZC7636H 8190 SX51
8190           8190ZK13360           SX218190SX51000000001.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK13360 8190 SX21
8190           8190ZK13360           SX218190SX51000000001.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK13360 8190 SX21
8190           8190ZK13360           SX218190SX51000000001.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK13360 8190 SX21
8190           8190ZK13360           SX218190SX51000000001.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK13360 8190 SX21
8190           8190ZP65140           FLA08190FL91000000120.000                    20180813MB1B                9I3    Deficit of SL Unrestricted-use 120 PC : ZP65140 8190 FLA0
8190           8190ZP65140           FLA08190FL91000000120.000                    20180813MB1B                9I3    Deficit of SL Unrestricted-use 120 PC : ZP65140 8190 FLA0
8190           8190ZU03150           FL218190FL51000000020.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZU03150 8190 FL21
8190           8190ZU03150           FL218190FL51000000020.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZU03150 8190 FL21
8190           8190ZP65140           FLA08190FL91000000120.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 120 PC : ZP65140 8190 FLA0
8190           8190ZP65140           FLA08190FL91000000120.000                    20180813MB1B                9I3    Deficit of SL Unrestricted-use 120 PC : ZP65140 8190 FLA0
8190           8190ZZ32330           SX518190SX91000000010.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZZ32330 8190 SX51
8190           8190ZP65140           FLA08190FL91000000120.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 120 PC : ZP65140 8190 FLA0
8190           8190ZP65140           FLA08190FL91000000120.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 120 PC : ZP65140 8190 FLA0
8190           8190ZP65140           FLA08190FL91000000120.000                    20180810MB1B                9I3    Deficit of SL Unrestricted-use 120 PC : ZP65140 8190 FLA0
8190           8190ZQ90480           CL218190CL51000000020.000                    20180811MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90480 8190 CL21
8190           8190ZZ42370           SX518190SX91000000010.000                    20180806MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZZ42370 8190 SX51
8190           8190ZU03150           FL218190FL51000000020.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZU03150 8190 FL21
8190           8190ZU03210           FL218190FL51000000020.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZU03210 8190 FL21
8190           8190ZU03250           FL218190FL51000000020.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZU03250 8190 FL21
8190           8190ZU03210           FL218190FL51000000020.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZU03210 8190 FL21
8190           8190ZQ87550           CL218190CL51000000020.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ87550 8190 CL21
8190           8190ZU03210           FL218190FL51000000020.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZU03210 8190 FL21
8190           8190ZT45860           FL218190FL51000000020.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZT45860 8190 FL21
8190           8190ZK50360           SXA18190SX21000000005.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZK50360 8190 SXA1
8190           8190ZK50360           SXA18190SX21000000005.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZK50360 8190 SXA1
8190           8190ZQ87760           CL218190CL51000000020.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZQ87760 8190 CL21
8190           8190ZT97850           CL218190CL51000000020.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT97850 8190 CL21
8190           8190ZU03250           FL218190FL51000000020.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZU03250 8190 FL21
