8190           8190WZ9184C           SX218190SA1R000000004.000                    20180820MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : WZ9184C 8190 SA1R
8190           8190ZP67280           SXA08190SX21000000030.000                    20180820MB1B                9I4    Deficit of SL Unrestricted-use 9 PC : ZP67280 8190 SX21
8190           8190ZP67280           SXA08190SX21000000030.000                    20180820MB1B                9I4    Deficit of SL Unrestricted-use 9 PC : ZP67280 8190 SX21
8190           8190ZP67280           SXA08190SX21000000030.000                    20180820MB1B                9I4    Deficit of SL Unrestricted-use 9 PC : ZP67280 8190 SX21
8190           8190ZP67280           SXA08190SX21000000030.000                    20180820MB1B                9I4    Deficit of SL Unrestricted-use 9 PC : ZP67280 8190 SX21
8190           8190ZT44020           FLA18190FL51000000110.000                    20180820MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZT44020 8190 FL51
8190           8190ZU02270           FLA18190FL51000000035.000                    20180820MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZU02270 8190 FL51
8190           8190ZC7636H           SX218190SX51000000001.000                    20180810MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZC7636H 8190 SX51
8190           8190ZP65140           FLA08190FL91000000120.000                    20180820MB1B                9I3    Deficit of SL Unrestricted-use 120 PC : ZP65140 8190 FLA0
8190           8190ZQ90480           CL218190CL51000000020.000                    20180811MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90480 8190 CL21
8190           8190ZU03250           FL218190FL51000000020.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZU03250 8190 FL21
8190           8190ZT97850           CL218190CL51000000020.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT97850 8190 CL21
8190           8190ZU03250           FL218190FL51000000020.000                    20180814MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZU03250 8190 FL21
8190           8190ZP65030           FLA08190FL21000000040.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP65030 8190 FLA0
8190           8190ZU03250           FL218190FL51000000020.000                    20180815MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZU03250 8190 FL21
