8190           8190ZW90930           FLT98191FSTK000000830.000                    20180914MB1B                9P1    Deficit of SL Unrestricted-use 830 PC : ZW90930 8190 FLT9
8190           8190ZT96950           CL518190LA0R000000001.000                    20180910MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZT96950 8190 LA0R
8190           8190ZU44140           FLA18190FL51000000050.000                    20180913MB1B                9I4    Deficit of SL Unrestricted-use 35 PC : ZU44140 8190 FL51
8190           8190ZA14780           SX518190SX91000000003.000                    20180903MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZA14780 8190 SX91
8190           8190ZU02710           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190ZU02710           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190ZU02710           FL218190FL51000000020.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190ZU02710           FL218190FL51000000020.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190ZJ3272C           SX218190SX51000000001.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZJ3272C 8190 SX21
8190           8190ZK50360           SXA18190SX21000000005.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZK50360 8190 SXA1
8190           8190ZK50360           SXA18190SX21000000005.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZK50360 8190 SXA1
8190           8190VAZ4570           SX518190SX91000000010.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : VAZ4570 8190 SX51
8190           8190VAZ4570           SX518190SX91000000010.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : VAZ4570 8190 SX51
8190           8190ZU02710           FL218190FL51000000020.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190ZA8986C           SX218190SX51000000001.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA8986C 8190 SX21
8190           8190ZA8986C           SX218190SX51000000001.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA8986C 8190 SX21
8190           8190ZA8986C           SX218190SX51000000001.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA8986C 8190 SX21
8190           8190ZT45920           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 11 PC : ZT45920 8190 FL21
8190           8190ZT91380           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 14 PC : ZT91380 8190 FL21
8190           8190ZT91380           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 14 PC : ZT91380 8190 FL21
8190           8190ZT44180           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT44180 8190 FL21
8190           8190ZT44730           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZT44730 8190 FL21
8190           8190ZT91380           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 14 PC : ZT91380 8190 FL21
8190           8190ZT44180           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT44180 8190 FL21
8190           8190ZT44180           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT44180 8190 FL21
