8190           8190W52871P           CLB98191FSTK000000070.000                    20180915MB1B                9P1    Deficit of SL Unrestricted-use 70 SET : W52871P 8190 CLB9
8190           8190ZT96950           CL518190LA0R000000001.000                    20180910MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZT96950 8190 LA0R
8190           8190ZA14780           SX518190SX91000000003.000                    20180903MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZA14780 8190 SX91
8190           8190ZU44140           FLA18190FL51000000050.000                    20180913MB1B                9I4    Deficit of SL Unrestricted-use 25 PC : ZU44140 8190 FL51
8190           8190ZU02710           FL218190FL51000000020.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190ZU02710           FL218190FL51000000020.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190ZU02710           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190ZU02710           FL218190FL51000000020.000                    20180914MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190VAZ4570           SX518190SX91000000010.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : VAZ4570 8190 SX51
8190           8190ZT44180           FL218190FL51000000020.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT44180 8190 FL21
8190           8190ZU02710           FL218190FL51000000020.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93546B 8190 SX51
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93546B 8190 SX51
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93546B 8190 SX51
8190           8190ZU02710           FL218190FL51000000020.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190VAZ4570           SX518190SX91000000010.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : VAZ4570 8190 SX51
8190           8190ZU02710           FL218190FL51000000020.000                    20180913MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZU02710 8190 FL21
8190           8190ZT44180           FL218190FL51000000020.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT44180 8190 FL21
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93546B 8190 SX51
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W93546B 8190 SX51
8190           8190ZT91380           FL218190FL51000000020.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 17 PC : ZT91380 8190 FL21
8190           8190ZT45520           FL218190FL51000000020.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZT45520 8190 FL21
8190           8190ZT44180           FL218190FL51000000020.000                    20180915MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT44180 8190 FL21
