8190           8190WF9195C           CL218190CL51000000001.000                    20180920MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : WF9195C 8190 CL51
8190           8190ZU24320           FL218190FL51000000013.000                    20180926MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZU24320 8190 FL51
8190           8190ZU24050           FLA18190FL51000000010.000                    20180925MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZU24050 8190 FL51
8190           8190ZY85890           SX518190SX91000000012.000                    20180925MB1B                9I4    Deficit of SL Unrestricted-use 12 PC : ZY85890 8190 SX91
8190           8190ZY85450           SX518190SX91000000020.000                    20180925MB1B                9I4    Deficit of SL Unrestricted-use 9 PC : ZY85450 8190 SX91
8190           8190ZA14780           SX518190SX91000000003.000                    20180903MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZA14780 8190 SX91
8190           8190ZU02430           FL218190FA1R000000014.000                    20180920MB1B                9I4    Deficit of SL Unrestricted-use 12 PC : ZU02430 8190 FA1R
8190           8190ZQ99540           SX518190SX91000000003.000                    20180919MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZQ99540 8190 SX91
8190           8190ZQ98440           SX518190SA0R000000029.000                    20180920MB1B                9I4    Deficit of SL Unrestricted-use 8 PC : ZQ98440 8190 SA0R
8190           8190W60549A           SX518190SX91000000006.000                    20180925MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : W60549A 8190 SX91
8190           8190ZC7633A           SX518190SX91000000001.000                    20180926MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZC7633A 8190 SX91
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180926MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180926MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180926MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180924MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180924MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZU02430           FL218190FA1R000000023.000                    20180924MB1B                9I3    Deficit of SL Unrestricted-use 13 PC : ZU02430 8190 FL21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180924MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180924MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180924MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180924MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZY85890           SX518190SX91000000010.000                    20180925MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZY85890 8190 SX51
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZF2087C           SX218190SX51000000015.000                    20180925MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZF2087C 8190 SX21
8190           8190ZT45590           FL218190FL51000000020.000                    20180926MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT45590 8190 FL21
