8190           8190W936470           SX518190SX91000000010.000                    20181017MB1B                9I4    Deficit of SL Unrestricted-use 10 PC : W936470 8190 SX91
8190           8190ZP68000           SXA08190SX21000000030.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP68000 8190 SXA0
8190           8190ZP68000           SXA08190SX21000000030.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP68000 8190 SXA0
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190W936470           SX518190SX91000000010.000                    20181016MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : W936470 8190 SX51
8190           8190VAS1300           SX218190SX51000000030.000                    20181018MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1300 8190 SX21
8190           8190VAS1300           SX218190SX51000000030.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1300 8190 SX21
8190           8190VAS1300           SX218190SX51000000030.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1300 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WQ4642E 8190 SX21
8190           8190ZT49630           SX518190SX91000000008.000                    20181020MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT49630 8190 SX51
8190           8190ZT49570           SX518190SX91000000008.000                    20181020MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZT49570 8190 SX51
