8190           8190VCQ1180           SXT98191FSTK000000029.000                    20181108MB1B                9P1    Material VCQ1180 has status No Costing(Actual. block) in plant 8190
8190           8190ZP67040           SXA08190SX91000000090.000                    20181108MB1B                9I4    Deficit of SL Unrestricted-use 60 PC : ZP67040 8190 SX91
8190           8190ZR01110           SX518190SX91000000054.000                    20181101MB1B                9I4    Deficit of SL Unrestricted-use 21 PC : ZR01110 8190 SX91
8190           8190ZR01500           SX518190SX91000000039.000                    20181101MB1B                9I4    Deficit of SL Unrestricted-use 4 PC : ZR01500 8190 SX91
8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    Deficit of SL Unrestricted-use 20 PC : VAZ0190 8190 SX91
8190           8190ZR02120           SX518190SX91000000023.000                    20181101MB1B                9I4    Deficit of SL Unrestricted-use 8 PC : ZR02120 8190 SX91
8190           8190ZR00890           SX518190SX91000000015.000                    20181108MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZR00890 8190 SX91
8190           8190ZR02440           SX518190SX91000000006.000                    20181108MB1B                9I4    Deficit of SL Unrestricted-use 5 PC : ZR02440 8190 SX91
8190           8190ZR02160           SX518190SX91000000008.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZR02160 8190 SX51
8190           8190ZR02160           SX518190SX91000000008.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZR02160 8190 SX51
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190ZQ98670           SX218190SX51000000008.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
8190           8190ZQ98670           SX218190SX51000000008.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190ZR00890           SX518190SX91000000008.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR00890 8190 SX51
8190           8190ZR01500           SX518190SX91000000008.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR01500 8190 SX51
