8190           8190ZR02120           SX518190SX91000000023.000                    20181101MB1B                9I4    Deficit of SL Unrestricted-use 17 PC : ZR02120 8190 SX91
8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    Deficit of SL Unrestricted-use 20 PC : VAZ0190 8190 SX91
8190           8190ZR02120           SX518190SX91000000008.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR02120 8190 SX51
8190           8190WZ9116C           SX218190SX51000000001.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190VAS1340           SXA08190SX21000000060.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190VAZ0190           SX518190SX91000000020.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : VAZ0190 8190 SX51
8190           8190ZR02120           SX518190SX91000000008.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR02120 8190 SX51
8190           8190ZR02120           SX518190SX91000000008.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR02120 8190 SX51
8190           8190WZ9116C           SX218190SX51000000001.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190ZR02160           SX518190SX91000000008.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR02160 8190 SX51
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190ZR02160           SX518190SX91000000008.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR02160 8190 SX51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ90000 8190 CL51
8190           8190WZ9116C           SX218190SX51000000001.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190ZR02160           SX518190SX91000000008.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR02160 8190 SX51
8190           8190VAS1340           SXA08190SX21000000060.000                    20181108MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190WZ9116C           SX218190SX51000000001.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190VAS1340           SXA08190SX21000000060.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 60 PC : VAS1340 8190 SXA0
8190           8190WZ9116C           SX218190SX51000000001.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZR02250           SX518190SX91000000008.000                    20181110MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR02250 8190 SX51
8190           8190ZR02250           SX518190SX91000000008.000                    20181110MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR02250 8190 SX51
8190           8190WZ9116C           SX218190SX51000000001.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZQ98670           SX218190SX51000000008.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
8190           8190ZR02120           SX518190SX91000000007.000                    20181113MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZR02120 8190 SX91
8190           8190ZR01500           SX518190SX91000000003.000                    20181113MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZR01500 8190 SX91
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
8190           8190VAW0810           SX218190SX51000000001.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : VAW0810 8190 SX21
