8190           8190ZF37260           SXA28190SX21000000020.000                    20181113MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZF37260 8190 SX21
8190           8190ZR02120           SX518190SX91000000023.000                    20181101MB1B                9I4    Deficit of SL Unrestricted-use 11 PC : ZR02120 8190 SX91
8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    Deficit of SL Unrestricted-use 20 PC : VAZ0190 8190 SX91
8190           8190VAS1240           SX218190SX51000000030.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1240 8190 SX21
8190           8190ZR02120           SX518190SX91000000008.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR02120 8190 SX51
8190           8190ZR02120           SX518190SX91000000008.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR02120 8190 SX51
8190           8190VAZ0190           SX518190SX91000000020.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : VAZ0190 8190 SX51
8190           8190ZR02120           SX518190SX91000000008.000                    20181112MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR02120 8190 SX51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190W61993A           SX518190SX91000000008.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W61993A 8190 SX51
8190           8190W61993A           SX518190SX91000000008.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W61993A 8190 SX51
8190           8190VAS1240           SX218190SX51000000030.000                    20181113MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1240 8190 SX21
8190           8190ZT44880           FL218190FL51000000020.000                    20181114MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZT44880 8190 FL21
8190           8190ZQ90000           CL518190CL91000000020.000                    20181114MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181114MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181114MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190W61993A           SX518190SX91000000008.000                    20181114MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W61993A 8190 SX51
8190           8190W61993A           SX518190SX91000000008.000                    20181114MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : W61993A 8190 SX51
8190           8190ZQ98670           SX218190SX51000000008.000                    20181114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
8190           8190ZQ98670           SX218190SX51000000008.000                    20181114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
8190           8190ZQ98670           SX218190SX51000000008.000                    20181114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
