8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    Deficit of SL Unrestricted-use 20 PC : VAZ0190 8190 SX91
8190           8190ZA8987C           SX218190SX51000000001.000                    20181119MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA8987C 8190 SX21
8190           8190ZA8987C           SX218190SX51000000001.000                    20181119MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA8987C 8190 SX21
8190           8190ZA8987C           SX218190SX51000000001.000                    20181119MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA8987C 8190 SX21
8190           8190VAZ0190           SX518190SX91000000020.000                    20181109MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : VAZ0190 8190 SX51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181115MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181116MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190ZA8987C           SX218190SX51000000001.000                    20181119MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA8987C 8190 SX21
8190           8190ZA8987C           SX218190SX51000000001.000                    20181119MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA8987C 8190 SX21
8190           8190ZQ90000           CL518190CL91000000020.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190ZQ90000           CL518190CL91000000020.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90000 8190 CL51
8190           8190ZQ98670           SX218190SX51000000008.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
8190           8190ZQ98670           SX218190SX51000000008.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
8190           8190ZQ98670           SX218190SX51000000008.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
8190           8190ZU03210           FL218190FL51000000020.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 17 PC : ZU03210 8190 FL21
8190           8190WZ9116C           SX218190SX51000000001.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190VAR9940           SX518190SX91000000030.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAR9940 8190 SX51
8190           8190ZQ98670           SX218190SX51000000008.000                    20181121MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ98670 8190 SX21
