8190           8190ZU77700           SXA18191FSTK000000060.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 60 PC : ZU77700 8190 SXA1
8190           8190ZW89960           SXA18191FSTK000000020.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 20 PC : ZW89960 8190 SXA1
8190           8190ZW89960           SXA18191FSTK000000020.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 20 PC : ZW89960 8190 SXA1
8190           8190ZW89960           SXA18191FSTK000000020.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 20 PC : ZW89960 8190 SXA1
8190           8190VAZ2970           SX518191FSTK000000040.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 40 PC : VAZ2970 8190 SX51
8190           8190AAC1841           RC918191FSTK000002050.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 1,400 PC : AAC1841 8190 RC91
8190           8190WZ45000           SX918191FSTK000000004.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 3 SET : WZ45000 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45000           SX918191FSTK000000004.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 3 SET : WZ45000 8190 SX91
8190           8190ZS97990           FL918191FSTK000000018.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 4 SET : ZS97990 8190 FL91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45000           SX918191FSTK000000004.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 3 SET : WZ45000 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45010           SX918191FSTK000000003.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 2 SET : WZ45010 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45000           SX918191FSTK000000004.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 3 SET : WZ45000 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45000           SX918191FSTK000000003.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 3 SET : WZ45000 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45000           SX918191FSTK000000004.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 4 SET : WZ45000 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45000           SX918191FSTK000000004.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 4 SET : WZ45000 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45000           SX918191FSTK000000004.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 4 SET : WZ45000 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000003.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 2 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000003.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 2 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000003.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 2 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000003.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 2 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45010           SX918191FSTK000000003.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 3 SET : WZ45010 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45010           SX918191FSTK000000002.000                    20181205MB1B                9P1    Deficit of SL Unrestricted-use 2 SET : WZ45010 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45000           SX918191FSTK000000004.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 4 SET : WZ45000 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ45000           SX918191FSTK000000004.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 4 SET : WZ45000 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181203MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190ZS98230           FL918191FSTK000000060.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 40 SET : ZS98230 8190 FL91
8190           8190ZS98080           FL918191FSTK000000001.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 1 SET : ZS98080 8190 FL91
8190           8190ZJ99880           PN918191FSTK000000400.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 50 PC : ZJ99880 8190 PN91
8190           8190ZJ99880           PN918191FSTK000000400.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 50 PC : ZJ99880 8190 PN91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181204MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190ZS97830           FL918191FSTK000000045.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 45 SET : ZS97830 8190 FL91
8190           8190ZS98230           FL918191FSTK000000060.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 40 SET : ZS98230 8190 FL91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190ZY33700           VN918191FSTK000000130.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 60 PC : ZY33700 8190 VN91
8190           8190AAC1844           RC918191FSTK000003200.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 2,500 PC : AAC1844 8190 RC91
8190           8190WZ44940           SX918191FSTK000000006.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 5 SET : WZ44940 8190 SX91
8190           8190WZ00120           CL918191FSTK000000040.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 40 SET : WZ00120 8190 CL91
8190           8190ZS98080           FL918191FSTK000000001.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 1 SET : ZS98080 8190 FL91
8190           8190ZJ99880           PN918191FSTK000000400.000                    20181206MB1B                9P1    Deficit of SL Unrestricted-use 50 PC : ZJ99880 8190 PN91
8190           8190ZT44660           FL518190FA0R000000060.000                    20181206MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZT44660 8190 FA0R
8190           8190ZP63780           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63780 8190 FLA0
8190           8190ZP63780           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63780 8190 FLA0
8190           8190ZP63780           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63780 8190 FLA0
8190           8190ZP63780           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63780 8190 FLA0
8190           8190ZP63780           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63780 8190 FLA0
8190           8190ZP63630           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63630 8190 FLA0
8190           8190ZP63710           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63710 8190 FLA0
8190           8190ZP63710           FLA08190FL21000000040.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZP63710 8190 FLA0
8190           8190ZP90580           SXA08190SX51000000030.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZP90580 8190 SXA0
8190           8190WF9525C           SX218190SX51000000001.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WF9525C 8190 SX21
8190           8190WF9525C           SX218190SX51000000001.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WF9525C 8190 SX21
8190           8190ZQ88090           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZQ88090 8190 CL21
8190           8190ZQ90390           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZQ90390 8190 CL21
8190           8190ZQ90390           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZQ90390 8190 CL21
8190           8190ZQ88000           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ88000 8190 CL21
8190           8190ZQ88000           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ88000 8190 CL21
8190           8190ZQ88300           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZQ88300 8190 CL21
8190           8190ZQ88300           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZQ88300 8190 CL21
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZQ88090           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZQ88090 8190 CL21
8190           8190ZE20540           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20540 8190 FLA1
8190           8190ZQ88090           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZQ88090 8190 CL21
8190           8190ZQ87890           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZQ87890 8190 CL21
8190           8190ZQ87890           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZQ87890 8190 CL21
8190           8190ZQ87890           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZQ87890 8190 CL21
8190           8190ZQ89380           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ89380 8190 CL21
8190           8190ZQ88300           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZQ88300 8190 CL21
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZE20750           FLA18190FL21000000010.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZE20750 8190 FLA1
8190           8190ZQ89830           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ89830 8190 CL21
8190           8190ZQ87600           CL218190CL51000000020.000                    20181206MB1B                9I3    Deficit of SL Unrestricted-use 19 PC : ZQ87600 8190 CL21
