8190           8190ZS98370           FL918191FSTK000000060.000                    20190102MB1B                9P1    Deficit of SL Unrestricted-use 37 SET : ZS98370 8190 FL91
8190           8190ZT43090           SX518190SX91000000004.000                    20190102MB1B                9I4    Deficit of SL Unrestricted-use 4 PC : ZT43090 8190 SX91
8190           8190ZR10720           SX518190SX91000000036.000                    20190102MB1B                9I4    Deficit of SL Unrestricted-use 5 PC : ZR10720 8190 SX91
8190           8190ZQ94890           SX518190SX91000000022.000                    20190102MB1B                9I4    Deficit of SL Unrestricted-use 19 PC : ZQ94890 8190 SX91
8190           8190ZY85890           SX518190SX91000000002.000                    20190102MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZY85890 8190 SX91
8190           8190WZ91100           SX518190SX91000000005.000                    20190103MB1B                9I4    Deficit of SL Unrestricted-use 4 PC : WZ91100 8190 SX91
8190           8190ZT43090           SX518190SX91000000005.000                    20190103MB1B                9I4    Deficit of SL Unrestricted-use 5 PC : ZT43090 8190 SX91
8190           8190ZR10680           SX518190SX91000000022.000                    20190103MB1B                9I4    Deficit of SL Unrestricted-use 20 PC : ZR10680 8190 SX91
8190           8190ZR10720           SX518190SX91000000055.000                    20190103MB1B                9I4    Deficit of SL Unrestricted-use 24 PC : ZR10720 8190 SX91
8190           8190ZQ94890           SX518190SX91000000006.000                    20190103MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZQ94890 8190 SX91
8190           8190WZ91340           SX518190SX91000000006.000                    20190103MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : WZ91340 8190 SX91
8190           8190ZT43090           SX518190SX91000000008.000                    20190103MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZT43090 8190 SX51
8190           8190ZR10720           SX518190SX91000000015.000                    20190103MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZR10720 8190 SX51
8190           8190ZR10720           SX518190SX91000000015.000                    20190103MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZR10720 8190 SX51
8190           8190ZQ99080           SX518190SX91000000008.000                    20190103MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ99080 8190 SX51
8190           8190ZQ99080           SX518190SX91000000008.000                    20190103MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ99080 8190 SX51
8190           8190ZT43800           FL218190FL51000000005.000                    20190103MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43800 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20190103MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZT43850 8190 FL21
8190           8190ZQ94890           SX518190SX91000000015.000                    20190102MB1B                9I3    Deficit of SL Unrestricted-use 13 PC : ZQ94890 8190 SX51
8190           8190ZR10680           SX518190SX91000000015.000                    20190103MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR10680 8190 SX51
8190           8190ZQ94890           SX518190SX91000000015.000                    20190102MB1B                9I3    Deficit of SL Unrestricted-use 13 PC : ZQ94890 8190 SX51
8190           8190ZR10680           SX518190SX91000000015.000                    20190102MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR10680 8190 SX51
8190           8190ZR10720           SX518190SX91000000015.000                    20190102MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZR10720 8190 SX51
8190           8190ZR10720           SX518190SX91000000015.000                    20190102MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZR10720 8190 SX51
8190           8190ZR10720           SX518190SX91000000015.000                    20190102MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZR10720 8190 SX51
8190           8190ZR10720           SX518190SX91000000015.000                    20190102MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZR10720 8190 SX51
8190           8190ZR10720           SX518190SX91000000015.000                    20190102MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZR10720 8190 SX51
