8190           8190AAD7562           PN918191FSTK000000150.000                    20190116MB1B                9P1    Deficit of SL Unrestricted-use 100 PC : AAD7562 8190 PN91
8190           8190ZY89160           SX518190SX91000000007.000                    20190110MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZY89160 8190 SX91
8190           8190ZY89280           SX518190SX91000000006.000                    20190116MB1B                9I4    Deficit of SL Unrestricted-use 6 PC : ZY89280 8190 SX91
8190           8190ZY89160           SX518190SX91000000006.000                    20190115MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZY89160 8190 SX91
8190           8190ZZ42800           SX518190SX91000000023.000                    20190110MB1B                9I4    Deficit of SL Unrestricted-use 21 PC : ZZ42800 8190 SX91
8190           8190ZZ42840           SX518190SX91000000001.000                    20190116MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZZ42840 8190 SX91
8190           8190ZY89280           SX518190SX91000000005.000                    20190110MB1B                9I4    Deficit of SL Unrestricted-use 5 PC : ZY89280 8190 SX91
8190           8190ZY85400           SX518190SX91000000004.000                    20190114MB1B                9I4    Deficit of SL Unrestricted-use 4 PC : ZY85400 8190 SX91
8190           8190ZZ42840           SX518190SX91000000003.000                    20190114MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZZ42840 8190 SX91
8190           8190ZY89280           SX518190SX91000000002.000                    20190110MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZY89280 8190 SX91
8190           8190ZZ42800           SX518190SX91000000010.000                    20190116MB1B                9I4    Deficit of SL Unrestricted-use 8 PC : ZZ42800 8190 SX91
8190           8190ZH50350           SX518190SX91000000001.000                    20190117MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZH50350 8190 SX91
8190           8190WZ91370           SX518190SX91000000002.000                    20190117MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : WZ91370 8190 SX91
8190           8190ZY89160           SX518190SX91000000007.000                    20190117MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZY89160 8190 SX91
8190           8190ZZ42680           SX518190SX91000000002.000                    20190117MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZZ42680 8190 SX91
8190           8190ZZ42800           SX518190SX91000000007.000                    20190117MB1B                9I4    Deficit of SL Unrestricted-use 5 PC : ZZ42800 8190 SX91
8190           8190ZQ94890           SX518190SX91000000025.000                    20190117MB1B                9I4    Deficit of SL Unrestricted-use 24 PC : ZQ94890 8190 SX91
8190           8190ZQ94850           SX518190SX91000000013.000                    20190117MB1B                9I4    Deficit of SL Unrestricted-use 9 PC : ZQ94850 8190 SX91
8190           8190W60653A           SXA18190SX21000000005.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190W60653A           SXA18190SX21000000005.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190W935040           SXT98190SX91000000100.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W935040 8190 SXT9
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZH5035C           SX218190SX51000000001.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZH5035C 8190 SX21
8190           8190ZH5035C           SX218190SX51000000001.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZH5035C 8190 SX21
8190           8190ZS06150           SX518190SX91000000015.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZS06150 8190 SX51
8190           8190ZS06150           SX518190SX91000000015.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZS06150 8190 SX51
8190           8190W60653A           SXA18190SX21000000005.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190W60653A           SXA18190SX21000000005.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190ZY89280           SX518190SX91000000010.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZY89280 8190 SX51
8190           8190W60653A           SXA18190SX21000000005.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190W60653A           SXA18190SX21000000005.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190W60653A           SXA18190SX21000000005.000                    20190111MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190ZS06150           SX518190SX91000000015.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZS06150 8190 SX51
8190           8190W60653A           SXA18190SX21000000005.000                    20190111MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZS06150           SX518190SX91000000015.000                    20190112MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZS06150 8190 SX51
8190           8190W60653A           SXA18190SX21000000005.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190W60653A           SXA18190SX21000000005.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZS06150           SX518190SX91000000015.000                    20190112MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZS06150 8190 SX51
8190           8190ZY89280           SX518190SX91000000010.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZY89280 8190 SX51
8190           8190ZH5035C           SX218190SX51000000001.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZH5035C 8190 SX21
8190           8190ZH5035C           SX218190SX51000000001.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZH5035C 8190 SX21
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZK3811C           SX218190SX51000000001.000                    20190111MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZH5035C           SX218190SX51000000001.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZH5035C 8190 SX21
8190           8190ZZ42800           SX518190SX91000000010.000                    20190116MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZZ42800 8190 SX51
8190           8190W60653A           SXA18190SX21000000005.000                    20190115MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZZ42800           SX518190SX91000000010.000                    20190115MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZZ42800 8190 SX51
8190           8190ZZ42800           SX518190SX91000000010.000                    20190115MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZZ42800 8190 SX51
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190ZK3811C           SX218190SX51000000001.000                    20190110MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK3811C 8190 SX21
8190           8190W60653A           SXA18190SX21000000005.000                    20190115MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : W60653A 8190 SXA1
8190           8190ZQ94850           SX518190SX91000000015.000                    20190117MB1B                9I3    Deficit of SL Unrestricted-use 13 PC : ZQ94850 8190 SX51
