8190           8190ZS01640           CL518190CL91000000006.000                    20190225MB1B                9I4    Deficit of SL Unrestricted-use 6 PC : ZS01640 8190 CL91
8190           8190ZT26120           SX518190SX91000000060.000                    20190226MB1B                9I4    Deficit of SL Unrestricted-use 37 PC : ZT26120 8190 SX91
8190           8190WZ91830           SX518190SX91000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91830 8190 SX51
8190           8190WZ91830           SX518190SX91000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91830 8190 SX51
8190           8190WZ91830           SX518190SX91000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91830 8190 SX51
8190           8190WZ91830           SX518190SX91000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91830 8190 SX51
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9184C 8190 SX21
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9184C 8190 SX21
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9184C 8190 SX21
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9184C 8190 SX21
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9184C 8190 SX21
8190           8190WZ9184C           SX218190SX51000000001.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9184C 8190 SX21
8190           8190ZY84870           SXA08190SX21000000030.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZY84870 8190 SXA0
8190           8190ZY84870           SXA08190SX21000000030.000                    20190226MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : ZY84870 8190 SXA0
