8190           8190ZU06220           FL218190FL51000000004.000                    20190319MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : ZU06220 8190 FL51
8190           8190VAZ0150           SX518190SX91000000005.000                    20190320MB1B                9I4    Deficit of SL Unrestricted-use 5 PC : VAZ0150 8190 SX91
8190           8190ZH50320           SX518190SX91000000001.000                    20190320MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZH50320 8190 SX91
8190           8190ZY85820           SX518190SX91000000010.000                    20190318MB1B                9I4    Deficit of SL Unrestricted-use 6 PC : ZY85820 8190 SX91
8190           8190ZZ42870           SX518190SX91000000012.000                    20190315MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZZ42870 8190 SX91
8190           8190ZZ42760           SX518190SX91000000002.000                    20190315MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZZ42760 8190 SX91
8190           8190ZT49570           SX518190SX91000000006.000                    20190321MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZT49570 8190 SX91
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZQ92820           SX518190SX91000000015.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 11 PC : ZQ92820 8190 SX51
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190VAZ0150           SX518190SX91000000010.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : VAZ0150 8190 SX51
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190VAS1310           CL218190CL51000000030.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1310 8190 CL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT95740           CL218190CL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT95740 8190 CL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190320MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
8190           8190ZT45720           FL218190FL51000000020.000                    20190321MB1B                9I3    Deficit of SL Unrestricted-use 18 PC : ZT45720 8190 FL21
