8190           8190WK0459A           SX518190SX91000000002.000                    20190405MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : WK0459A 8190 SX91
8190           8190ZT96950           CL518190LA0R000000035.000                    20190405MB1B                9I4    Deficit of SL Unrestricted-use 35 PC : ZT96950 8190 LA0R
8190           8190ZQ88000           CL518190LA0R000000025.000                    20190405MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZQ88000 8190 LA0R
8190           8190VAQ2780           CL518190CLB9000000030.000                    20190404MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAQ2780 8190 CL51
8190           8190VAQ2780           CL518190CLB9000000030.000                    20190404MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAQ2780 8190 CL51
8190           8190ZA1479C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZP66540           SXA08190SX21000000016.000                    20190404MB1B                9I3    Deficit of SL Unrestricted-use 16 PC : ZP66540 8190 SXA0
8190           8190WZ9116C           SX218190SX51000000001.000                    20190404MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190404MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZW92240           CLA08190CL21000000040.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZW92240 8190 CLA0
8190           8190VAQ2780           CL518190CLB9000000030.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAQ2780 8190 CL51
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
