8190           8190ZT43180           SX518190SX91000000006.000                    20190406MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZT43180 8190 SX91
8190           8190ZQ88000           CL518190LA0R000000025.000                    20190405MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : ZQ88000 8190 LA0R
8190           8190WK0459A           SX518190SX91000000002.000                    20190405MB1B                9I4    Deficit of SL Unrestricted-use 2 PC : WK0459A 8190 SX91
8190           8190ZT96950           CL518190LA0R000000035.000                    20190405MB1B                9I4    Deficit of SL Unrestricted-use 35 PC : ZT96950 8190 LA0R
8190           8190ZQ99440           SX518190SX91000000008.000                    20190406MB1B                9I4    Deficit of SL Unrestricted-use 6 PC : ZQ99440 8190 SX91
8190           8190WZ91840           SX518190SX91000000004.000                    20190406MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX91
8190           8190ZT97850           CL218190CL51000000020.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT97850 8190 CL21
8190           8190ZT97850           CL218190CL51000000020.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZT97850 8190 CL21
8190           8190WZ91840           SX518190SX91000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190WZ91840           SX518190SX91000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ91840 8190 SX51
8190           8190ZA1479C           SX218190SX51000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190VAS1310           CL218190CL51000000030.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1310 8190 CL21
8190           8190VAS1310           CL218190CL51000000030.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 30 PC : VAS1310 8190 CL21
8190           8190ZH5035C           SX218190SX51000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZH5035C 8190 SX21
8190           8190ZH5035C           SX218190SX51000000001.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZH5035C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190404MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190404MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZW92240           CLA08190CL21000000040.000                    20190405MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZW92240 8190 CLA0
8190           8190ZW92240           CLA08190CL21000000040.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 40 PC : ZW92240 8190 CLA0
8190           8190ZQ99440           SX518190SX91000000008.000                    20190406MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZQ99440 8190 SX51
8190           8190ZJ99880           PN918191FSTK000000400.000                    20190406MB1B                9P1    Deficit of SL Unrestricted-use 400 PC : ZJ99880 8190 PN91
8190           8190ZJ99880           PN918191FSTK000000400.000                    20190406MB1B                9P1    Deficit of SL Unrestricted-use 400 PC : ZJ99880 8190 PN91
