8190           8190ZR45000           CL218190CL51000000120.000                    20171106MB1B                9I4    
8190           8190WK0455A           SX518190SX91000000008.000                    20171108MB1B                9I3    
8190           8190ZH50350           SX518190SX91000000001.000                    20171109MB1B                9I4    
8190           8190WK0455A           SX518190SX91000000008.000                    20171109MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171110MB1B                9I3    
8190           8190ZR45000           CL218190CL51000000020.000                    20171110MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171110MB1B                9I3    
8190           8190ZY85310           SX518190SX91000000010.000                    20171110MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZU02550           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20171111MB1B                9I3    
