8190           8190ZH50350           SX518190SX91000000001.000                    20171109MB1B                9I4    
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    
8190           8190ZY85310           SX518190SX91000000010.000                    20171114MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT42950           SX218190SX51000000008.000                    20171115MB1B                9I3    
8190           8190ZT42950           SX218190SX51000000008.000                    20171115MB1B                9I3    
8190           8190ZQ92770           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171115MB1B                9I3    
8190           8190ZP67680           FLA08190FL21000000040.000                    20171115MB1B                9I3    
8190           8190ZT45990           FLA08190FL21000000040.000                    20171115MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20171115MB1B                9I3    
8190           8190ZT42880           SX218190SX51000000008.000                    20171115MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ92770           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ92770           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU03090           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU06560           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU03150           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU02600           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU02650           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU02550           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZF37770           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37770           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37770           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37770           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37760           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37760           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37760           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37760           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37420           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37420           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37420           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37630           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37630           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37630           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37630           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37380           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37430           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37470           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37470           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZF37470           SXA28190SX21000000020.000                    20171115MB1B                9I3    
8190           8190ZE20620           FLA18190FL21000000010.000                    20171115MB1B                9I3    
8190           8190ZU02770           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZU06380           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190WQ4642B           SX518190SX91000000005.000                    20171115MB1B                9I3    
8190           8190WQ4642B           SX518190SX91000000005.000                    20171115MB1B                9I3    
8190           8190WQ4642B           SX518190SX91000000005.000                    20171115MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20171115MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171115MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20171115MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZY85380           SX218190SX51000000010.000                    20171115MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171115MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171115MB1B                9I3    
