8190           8190WK0455A           SX518190SX91000000007.000                    20171117MB1B                9I4    
8190           8190ZT45170           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZU24050           FLA18190FL51000000005.000                    20171117MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU03150           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU03090           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190WZ9853C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190WZ9853C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZC7785D           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZY85860           SX218190SX51000000010.000                    20171117MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
