8190           8190ZZ32150           SX218190SX51000000002.000                    20171121MB1B                9I4    
8190           8190ZF62660           SX518190SX91000000005.000                    20171121MB1B                9I4    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZU06560           FL218190FL51000000020.000                    20171121MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190ZQ93540           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171121MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171121MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ99690           SX518190SX91000000008.000                    20171120MB1B                9I3    
8190           8190W93547A           SX518190SX91000000015.000                    20171121MB1B                9I3    
8190           8190ZY85310           SX518190SX91000000010.000                    20171121MB1B                9I3    
8190           8190ZE20820           FLA18190FL21000000010.000                    20171121MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20171121MB1B                9I3    
8190           8190ZV28510           SX518190SX91000000015.000                    20171121MB1B                9I3    
8190           8190ZV28510           SX518190SX91000000015.000                    20171121MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171121MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20171121MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171121MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZJ29990           CL518190CLB9000000020.000                    20171121MB1B                9I3    
8190           8190ZQ99290           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20171121MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171121MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190ZQ98980           SX518190SX91000000008.000                    20171120MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZR01340           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20171121MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171121MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20171121MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20171121MB1B                9I3    
