8190           8190ZG29630           CLA28190CL21000000180.000                    20171130MB1B                9I4    
8190           8190ZP67080           SXA08190SX91000000090.000                    20171130MB1B                9I4    
8190           8190ZP66980           SXA08190SX91000000090.000                    20171130MB1B                9I4    
8190           8190ZP66980           SXA08190SX91000000090.000                    20171130MB1B                9I4    
8190           8190ZP66980           SXA08190SX91000000090.000                    20171130MB1B                9I4    
8190           8190ZP67080           SXA08190SX91000000090.000                    20171130MB1B                9I4    
8190           8190ZA52450           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20171130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20171130MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88480           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88480           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88480           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20171130MB1B                9I3    
