8190           8190ZY85690           SX518190SX91000000007.000                    20171129MB1B                9I4    
8190           8190WF9812E           SX518190SX91000000015.000                    20171128MB1B                9I4    
8190           8190WZ91840           SX518190SX91000000002.000                    20171124MB1B                9I4    
8190           8190ZP61430           CLA08190CL21000000020.000                    20171201MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZP61410           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20171201MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20171201MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZR00480           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20171201MB1B                9I3    
8190           8190ZQ96940           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ96940           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ98090           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ98320           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00860           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20171201MB1B                9I3    
8190           8190ZQ96940           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ97010           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ97010           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95990           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ98320           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00630           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00310           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ98090           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20171201MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZR00950           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00950           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00510           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR01360           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZR00980           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00980           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZR00980           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZR00730           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZP61530           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZR01360           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZR00630           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ96210           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZQ96210           SX518190SX91000000008.000                    20171201MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20171201MB1B                9I3    
8190           8190ZQ94520           SX518190SX91000000015.000                    20171201MB1B                9I3    
