8190           8190ZW90750           SXA08191FSTK000000090.000                    20171221MB1B                9P1    
8190           8190ZZ32150           SX218190SX51000000023.000                    20171221MB1B                9I4    
8190           8190ZQ95140           SX518190SX91000000026.000                    20171221MB1B                9I4    
8190           8190ZQ95140           SX518190SX91000000014.000                    20171221MB1B                9I4    
8190           8190ZP67760           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67760           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZR23200           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67770           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20171221MB1B                9I3    
