8190           8190ZU28440           CL518190CL91000000004.000                    20180110MB1B                9I4    
8190           8190ZU02430           FL218190FL51000000004.000                    20180112MB1B                9I4    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180112MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61850           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180112MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180112MB1B                9I3    
8190           8190W48331P           FLT98190FL91000000100.000                    20180111MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20180112MB1B                9I3    
8190           8190ZP61480           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61850           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180112MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180112MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180112MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180112MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180112MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20180112MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20180112MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180112MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180112MB1B                9I3    
8190           8190ZP61500           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61790           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61790           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61790           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP61500           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61500           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180112MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180112MB1B                9I3    
8190           8190ZP63690           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP63690           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP65010           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20180112MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62160           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61910           CLA08190CL21000000500.000                    20180112MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP65010           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP66750           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP65120           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP64450           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP64330           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP65120           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP65170           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP65190           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP67270           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP66770           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP66770           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP65080           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP65020           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP67290           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP65230           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP65230           SXA08190SX21000000016.000                    20180112MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180112MB1B                9I3    
8190           8190ZP61740           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61560           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61560           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61560           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61550           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61410           CLA08190CL21000000040.000                    20180112MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20180112MB1B                9I3    
