8190           8190ZK13370           SXA18190SX21000000001.000                    20180115MB1B                9I4    
8190           8190W60550A           SX518190SX91000000016.000                    20180117MB1B                9I4    
8190           8190W60550A           SX518190SX91000000016.000                    20180117MB1B                9I4    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP66540           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP64850           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP64830           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180116MB1B                9I3    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180116MB1B                9I3    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180116MB1B                9I3    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180116MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67160           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP64810           SXA08190SX21000000016.000                    20180117MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20180117MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20180117MB1B                9I3    
