8190           8190ZY13600           VN518190VN91000000046.000                    20180129MB1B                9I4    
8190           8190ZQ94930           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20180129MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20180129MB1B                9I3    
