8190           8190ZK13360           SX218190SX51000000002.000                    20180215MB1B                9I4    
8190           8190ZA1494C           SX218190SX51000000001.000                    20180215MB1B                9I4    
8190           8190ZT43980           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU11650           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU11650           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU11650           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU94760           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU94760           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU11650           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU22730           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02340           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180217MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180217MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180217MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180217MB1B                9I3    
8190           8190ZU02340           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02340           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02340           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190WK0460A           SX518190SX91000000015.000                    20180217MB1B                9I3    
8190           8190WK0460A           SX518190SX91000000015.000                    20180217MB1B                9I3    
8190           8190ZU02940           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02940           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02940           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02940           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU05690           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU05690           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU05690           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180217MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180217MB1B                9I3    
