8190           8190ZE20540           FLA18190FSTK000000011.000                    20180521MB1B                9P1    
8190           8190ZU02430           FL218190FL51000000004.000                    20180521MB1B                9I4    
8190           8190ZU02430           FL218190FL51000000003.000                    20180521MB1B                9I4    
8190           8190ZA5245C           SX218190SA1R000000009.000                    20180521MB1B                9I4    
8190           8190WY9341C           SX218190SA1R000000003.000                    20180521MB1B                9I4    
8190           8190WF9525C           SX218190SA1R000000006.000                    20180521MB1B                9I4    
8190           8190WF9195A           CL518190CL91000000021.000                    20180521MB1B                9I4    
8190           8190ZC7783E           SX218190SA1R000000003.000                    20180521MB1B                9I4    
8190           8190ZP66200           SXA08190SX21000000500.000                    20180521MB1B                9I4    
8190           8190ZP63150           SXA08190SX21000000030.000                    20180521MB1B                9I4    
8190           8190ZY13490           VNA08190VN21000000060.000                    20180521MB1B                9I4    
8190           8190ZP61910           CLA08190CL21000000500.000                    20180521MB1B                9I4    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180521MB1B                9I4    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180521MB1B                9I4    
8190           8190ZP62860           FLA08190FL21000000040.000                    20180521MB1B                9I4    
8190           8190ZP66910           SXA08190SX21000000030.000                    20180521MB1B                9I4    
8190           8190ZP67960           SXA08190SX21000000030.000                    20180521MB1B                9I4    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZE22580           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22590           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22590           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180521MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180521MB1B                9I3    
