8190           8190ZS02260           CLB98191FSTK000000100.000                    20180523MB1B                9P1    
8190           8190ZT44730           FL218190FA0R000000196.000                    20180523MB1B                9I4    
8190           8190ZY13600           VN518190VN91000000012.000                    20180523MB1B                9I4    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ89090           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ88620           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ85050           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94570           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94630           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94630           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94630           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ86220           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
