8190           8190W93546B           SX518191FSTK000000020.000                    20180606MB1B                9P1    
8190           8190ZT43850           FL218190FA1R000000030.000                    20180606MB1B                9I4    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180606MB1B                9I4    
8190           8190ZF37160           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37320           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20180606MB1B                9I3    
8190           8190ZF37320           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37320           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20180606MB1B                9I3    
8190           8190ZF37330           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37330           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37330           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20180606MB1B                9I3    
