8190           8190ZT43850           FL218190FA1R000000030.000                    20180606MB1B                9I4    
8190           8190ZA1493C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZA1493C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZF65890           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZG25230           CL518190CLB9000000180.000                    20180608MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ99380           SX518190SX91000000008.000                    20180609MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180607MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20180606MB1B                9I3    
8190           8190ZA1493C           SX218190SX51000000001.000                    20180605MB1B                9I3    
8190           8190ZF65890           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZR01630           SX518190SX91000000008.000                    20180608MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190ZT97850           CL218190CL51000000020.000                    20180607MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20180608MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZA14780           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20180607MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    
8190           8190ZR01630           SX518190SX91000000008.000                    20180608MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    
8190           8190ZA14790           SX518190SX91000000001.000                    20180531MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190ZU70070           CL518190CLB9000000030.000                    20180609MB1B                9I3    
8190           8190ZU70070           CL518190CLB9000000030.000                    20180609MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180608MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180608MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190ZG25230           CL518190CLB9000000180.000                    20180608MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190ZU70070           CL518190CLB9000000030.000                    20180609MB1B                9I3    
8190           8190ZU70070           CL518190CLB9000000030.000                    20180609MB1B                9I3    
8190           8190ZG24290           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG24290           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG24280           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG25230           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG25230           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180607MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180607MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZA1493C           SX218190SX51000000001.000                    20180607MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20180608MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20180610MB1B                9I3    
