8190           8190W93548E           SX518190SX91000000018.000                    20180611MB1B                9I4    
8190           8190ZT43850           FL218190FA1R000000030.000                    20180606MB1B                9I4    
8190           8190ZU70070           CL518190CLB9000000030.000                    20180613MB1B                9I3    
8190           8190ZU70070           CL518190CLB9000000030.000                    20180613MB1B                9I3    
8190           8190ZA15000           SX518190SX91000000001.000                    20180613MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180612MB1B                9I3    
8190           8190ZT97850           CL218190CL51000000020.000                    20180607MB1B                9I3    
8190           8190ZF65890           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZF65890           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180612MB1B                9I3    
8190           8190WZ70070           SX218190SX91000000005.000                    20180607MB1B                9I3    
8190           8190ZS06020           SX518190SX91000000015.000                    20180613MB1B                9I3    
8190           8190ZQ99440           SX518190SX91000000008.000                    20180613MB1B                9I3    
8190           8190ZQ99440           SX518190SX91000000008.000                    20180613MB1B                9I3    
8190           8190ZT49570           SX518190SX91000000008.000                    20180613MB1B                9I3    
8190           8190ZD11700           SX518190SX91000000001.000                    20180613MB1B                9I3    
