8190           8190ZQ87730           CL518190CL91000000020.000                    20180624MB1B                9I4    
8190           8190ZQ93110           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93110           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93110           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93110           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93420           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93420           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93090           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93350           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93350           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93350           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93350           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ92370           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ92390           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190WK0458A           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ93070           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190W93547A           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190W93547A           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190W93548A           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190W93548A           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ93070           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93070           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93070           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93070           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93450           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93330           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93330           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93330           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ92900           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ92900           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93290           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93290           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93290           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93030           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93290           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93290           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93030           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93030           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ92900           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ92900           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ92930           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93330           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93330           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93150           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93150           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93150           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93150           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93150           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ92930           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ92930           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93130           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93030           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91370           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZU24060           FL518190FL91000000005.000                    20180624MB1B                9I3    
8190           8190ZU24060           FL518190FL91000000005.000                    20180624MB1B                9I3    
8190           8190ZU24060           FL518190FL91000000005.000                    20180624MB1B                9I3    
8190           8190ZU24060           FL518190FL91000000005.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZQ93240           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93240           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20180624MB1B                9I3    
8190           8190ZQ93130           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20180624MB1B                9I3    
8190           8190ZQ93130           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93130           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190W93547A           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ93130           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190WK0458A           SX518190SX91000000015.000                    20180624MB1B                9I3    
8190           8190ZQ93400           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZQ93240           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZU49310           FLA08190FL21000000300.000                    20180624MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190WZ91390           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20180624MB1B                9I3    
8190           8190ZU49310           FLA08190FL21000000300.000                    20180624MB1B                9I3    
8190           8190ZQ93400           CL518190CL91000000020.000                    20180624MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180624MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180624MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180624MB1B                9I3    
