8190           8190ZU03090           FL218190FA0R000000054.000                    20180702MB1B                9I4    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZP61460           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP64500           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63560           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180707MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180707MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180707MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180707MB1B                9I3    
