8190           8190ZR16910           SX518190SX91000000002.000                    20180710MB1B                9I4    
8190           8190ZP65160           SXA08190SX21000000016.000                    20180710MB1B                9I4    
8190           8190WF9525C           SX218190SA1R000000001.000                    20180710MB1B                9I4    
8190           8190ZA8987C           SX218190SA1R000000001.000                    20180710MB1B                9I4    
8190           8190WY9341C           SX218190SA1R000000011.000                    20180710MB1B                9I4    
8190           8190ZT43850           FL218190FA1R000000010.000                    20180710MB1B                9I4    
8190           8190ZC7783E           SX218190SA1R000000003.000                    20180710MB1B                9I4    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180710MB1B                9I4    
8190           8190ZP63460           SXA08190SX21000000030.000                    20180710MB1B                9I4    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61880           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61880           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61880           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61760           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61760           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22620           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22520           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22530           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22620           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62570           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63410           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63410           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP65030           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP65030           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20180710MB1B                9I3    
