8190           8190ZV17760           SXA18191FSTK000000040.000                    20180723MB1B                9P1    
8190           8190ZU77700           SXA18191FSTK000000060.000                    20180723MB1B                9P1    
8190           8190WZ91390           SX518190SX91000000001.000                    20180723MB1B                9I4    
8190           8190WZ91390           SX518190SX91000000001.000                    20180723MB1B                9I4    
8190           8190ZY13600           VN518190VN91000000011.000                    20180723MB1B                9I4    
8190           8190ZC7783E           SX218190SA1R000000002.000                    20180723MB1B                9I4    
8190           8190WY9341C           SX218190SA1R000000013.000                    20180723MB1B                9I4    
8190           8190ZP66980           SXA08190SX91000000090.000                    20180723MB1B                9I4    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10740           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10740           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94830           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94830           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94830           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20180723MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20180723MB1B                9I3    
8190           8190ZG2423B           CLA28190CL51000000180.000                    20180723MB1B                9I3    
8190           8190ZG2423B           CLA28190CL51000000180.000                    20180723MB1B                9I3    
8190           8190ZG2421B           CLA28190CL51000000180.000                    20180723MB1B                9I3    
8190           8190ZG2421B           CLA28190CL51000000180.000                    20180723MB1B                9I3    
8190           8190ZG2431B           CLA28190CL51000000180.000                    20180723MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10680           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZG2431B           CLA28190CL51000000180.000                    20180723MB1B                9I3    
8190           8190ZQ95140           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95140           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95080           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZT75800           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94520           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94400           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180723MB1B                9I3    
8190           8190ZG2433B           CLA28190CL51000000180.000                    20180723MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180723MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180723MB1B                9I3    
