8190           8190ZC7636H           SX218190SX51000000001.000                    20180810MB1B                9I4    
8190           8190ZY85920           SX218190SX51000000010.000                    20180811MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180809MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA1479C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190VAS1330           SXA08190SX21000000060.000                    20180811MB1B                9I3    
8190           8190VAS1330           SXA08190SX21000000060.000                    20180811MB1B                9I3    
8190           8190VAS1330           SXA08190SX21000000060.000                    20180811MB1B                9I3    
8190           8190ZZ42370           SX518190SX91000000010.000                    20180806MB1B                9I3    
8190           8190VAS1330           SXA08190SX21000000060.000                    20180811MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20180811MB1B                9I3    
8190           8190ZY85290           SX218190SX51000000010.000                    20180811MB1B                9I3    
8190           8190ZZ32310           SX218190SX51000000010.000                    20180811MB1B                9I3    
8190           8190ZZ32200           SX218190SX51000000010.000                    20180811MB1B                9I3    
8190           8190ZZ32740           SX218190SX51000000010.000                    20180811MB1B                9I3    
8190           8190ZZ32360           SX218190SX51000000010.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZQ90570           CL218190CL51000000020.000                    20180811MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20180811MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180811MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180811MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180811MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180811MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180811MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180810MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180810MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20180810MB1B                9I3    
8190           8190ZP65140           FLA08190FL91000000120.000                    20180810MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180810MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20180810MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180811MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20180811MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZZ32690           SX218190SX51000000010.000                    20180811MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZS06090           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180811MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZQ96240           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98040           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98350           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ95600           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZT43120           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZR01530           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98270           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZR01250           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ97030           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ93870           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZS06090           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20180811MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20180811MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180811MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180811MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180811MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180811MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180811MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180811MB1B                9I3    
8190           8190ZP61650           CLA08190CL21000000040.000                    20180811MB1B                9I3    
8190           8190ZP61630           CLA08190CL21000000020.000                    20180811MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20180811MB1B                9I3    
8190           8190ZQ95480           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20180811MB1B                9I3    
8190           8190ZQ95400           SX218190SX51000000008.000                    20180811MB1B                9I3    
