8190           8190VAZ2970           SX518191FSTK000000040.000                    20180827MB1B                9P1    
8190           8190ZG2521B           CLA28190CL51000000180.000                    20180827MB1B                9I4    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180827MB1B                9I4    
8190           8190ZT75800           SX518190SX91000000006.000                    20180827MB1B                9I4    
8190           8190ZC7636H           SX218190SX51000000001.000                    20180810MB1B                9I4    
8190           8190ZR01250           SX518190SA0R000000002.000                    20180827MB1B                9I4    
8190           8190VAZ0190           SX518190SX91000000010.000                    20180821MB1B                9I4    
8190           8190ZG1270A           SX518190SX91000000014.000                    20180823MB1B                9I4    
8190           8190VAR9940           SX518190SX91000000115.000                    20180821MB1B                9I4    
8190           8190WZ9184C           SX218190SA1R000000004.000                    20180820MB1B                9I4    
8190           8190ZA14780           SX518190SX91000000002.000                    20180823MB1B                9I4    
8190           8190WF9195A           CL518190CL91000000015.000                    20180824MB1B                9I4    
8190           8190ZF37470           SXA28190SX21000000020.000                    20180827MB1B                9I4    
8190           8190ZR00660           SX518190SX91000000014.000                    20180827MB1B                9I4    
8190           8190ZY85400           SX518190SX91000000003.000                    20180827MB1B                9I4    
8190           8190WZ91840           SX518190SX91000000012.000                    20180827MB1B                9I4    
8190           8190ZT75800           SX518190SX91000000011.000                    20180827MB1B                9I4    
8190           8190ZQ95140           SX518190SX91000000008.000                    20180827MB1B                9I4    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180827MB1B                9I3    
