8190           8190ZU24080           FLA18190FL51000000041.000                    20180907MB1B                9I4    
8190           8190ZA14780           SX518190SX91000000003.000                    20180903MB1B                9I4    
8190           8190ZU03210           FL218190FL51000000020.000                    20180908MB1B                9I3    
8190           8190ZU03210           FL218190FL51000000020.000                    20180907MB1B                9I3    
8190           8190ZY85340           SX218190SX51000000010.000                    20180907MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20180907MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180907MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20180907MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180906MB1B                9I3    
8190           8190ZH50360           SXA18190SX21000000001.000                    20180906MB1B                9I3    
8190           8190ZJ32730           SXA18190SX21000000001.000                    20180906MB1B                9I3    
8190           8190ZJ32730           SXA18190SX21000000001.000                    20180906MB1B                9I3    
8190           8190ZA14780           SX518190SX91000000001.000                    20180905MB1B                9I3    
8190           8190ZH5035C           SX218190SX51000000001.000                    20180907MB1B                9I3    
