8190           8190W52871P           CLB98191FSTK000000070.000                    20180915MB1B                9P1    
8190           8190ZT96950           CL518190LA0R000000001.000                    20180910MB1B                9I4    
8190           8190ZA14780           SX518190SX91000000003.000                    20180903MB1B                9I4    
8190           8190ZU44140           FLA18190FL51000000050.000                    20180913MB1B                9I4    
8190           8190ZT75800           SX518190SX91000000010.000                    20180915MB1B                9I4    
8190           8190ZT75800           SX518190SX91000000003.000                    20180915MB1B                9I4    
8190           8190ZT75800           SX518190SX91000000003.000                    20180915MB1B                9I4    
8190           8190ZU02710           FL218190FL51000000020.000                    20180913MB1B                9I3    
8190           8190ZU02710           FL218190FL51000000020.000                    20180913MB1B                9I3    
8190           8190ZU02710           FL218190FL51000000020.000                    20180914MB1B                9I3    
8190           8190ZU02710           FL218190FL51000000020.000                    20180914MB1B                9I3    
8190           8190VAZ4570           SX518190SX91000000010.000                    20180913MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190ZU02710           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    
8190           8190ZU02710           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190VAZ4570           SX518190SX91000000010.000                    20180913MB1B                9I3    
8190           8190ZU02710           FL218190FL51000000020.000                    20180913MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    
8190           8190W93546B           SX518190SX91000000005.000                    20180915MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190ZT75800           SX518190SX91000000015.000                    20180915MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20180915MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9853C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9853C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190WZ9853C           SX218190SX51000000001.000                    20180915MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20180915MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZP64500           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP63240           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180915MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180915MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180915MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180915MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180915MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP63790           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZP61400           CLA08190CL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZP64240           SXA08190SX21000000030.000                    20180915MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ92770           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZP61790           CLA08190CL21000000040.000                    20180915MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20180915MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZU49300           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180915MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180915MB1B                9I3    
