8190           8190ZP67940           SXA08190CL21000000030.000                    20181012MB1B                9I4    
8190           8190ZP67080           SXA08190SX91000000090.000                    20181011MB1B                9I4    
8190           8190ZP67080           SXA08190SX91000000090.000                    20181011MB1B                9I4    
8190           8190ZQ88480           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94550           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ88480           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ83670           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94520           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94520           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94770           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95390           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20181013MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20181013MB1B                9I3    
