8190           8190ZE22550           FLA28190FL21000000030.000                    20181019MB1B                9I4    
8190           8190W936470           SX518190SX91000000010.000                    20181017MB1B                9I4    
8190           8190ZP67350           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63950           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63950           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63950           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63950           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63580           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP65030           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63520           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66270           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181019MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181019MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ92030           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181019MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181018MB1B                9I3    
8190           8190W936470           SX518190SX91000000010.000                    20181016MB1B                9I3    
8190           8190ZQ91920           CL518190CL91000000020.000                    20181019MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ89830           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20181019MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20181019MB1B                9I3    
8190           8190ZW92220           CLA08190CL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63370           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181019MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181019MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181019MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181019MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181019MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181019MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181019MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181019MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20181019MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20181019MB1B                9I3    
8190           8190ZP62650           FLA08190FL21000000300.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZU49280           FLA08190FL21000000040.000                    20181019MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZU06220           FL218190FL51000000005.000                    20181019MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181019MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20181019MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20181019MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20181019MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20181019MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20181019MB1B                9I3    
