8190           8190W936470           SX518190SX91000000010.000                    20181017MB1B                9I4    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181019MB1B                9I3    
8190           8190ZP68000           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190ZP68000           SXA08190SX21000000030.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190W936470           SX518190SX91000000010.000                    20181016MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181018MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181019MB1B                9I3    
8190           8190ZT49630           SX518190SX91000000008.000                    20181020MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190WQ4642E           SX218190SX51000000005.000                    20181019MB1B                9I3    
8190           8190ZT49570           SX518190SX91000000008.000                    20181020MB1B                9I3    
