8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    
8190           8190ZR01500           SX518190SX91000000039.000                    20181029MB1B                9I4    
8190           8190ZR02120           SX518190SX91000000023.000                    20181029MB1B                9I4    
8190           8190ZR01500           SX518190SX91000000001.000                    20181031MB1B                9I4    
8190           8190ZR01500           SX518190SX91000000003.000                    20181031MB1B                9I4    
8190           8190ZR01110           SX518190SX91000000054.000                    20181029MB1B                9I4    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181031MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181029MB1B                9I3    
8190           8190ZJ2998B           CL518190CLB9000000020.000                    20181031MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190VAS0000           CL518190CL91000000010.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181103MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181103MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181102MB1B                9I3    
8190           8190ZP63750           FLA08190FL51000000040.000                    20181102MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181027MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181101MB1B                9I3    
8190           8190VAS0000           CL518190CL91000000010.000                    20181101MB1B                9I3    
