8190           8190W587871           SXA08191FSTK000000210.000                    20181106MB1B                9P1    
8190           8190ZR02440           SX518190SX91000000004.000                    20181107MB1B                9I4    
8190           8190ZF2087A           SX518190SX91000000030.000                    20181107MB1B                9I4    
8190           8190ZU15810           CL518190CL91000000020.000                    20181107MB1B                9I4    
8190           8190ZY13520           VNA08190SX51000000120.000                    20181107MB1B                9I4    
8190           8190VAZ0190           SX518190SX91000000020.000                    20181102MB1B                9I4    
8190           8190ZR02120           SX518190SX91000000023.000                    20181101MB1B                9I4    
8190           8190ZR00890           SX518190SX91000000004.000                    20181107MB1B                9I4    
8190           8190ZR01110           SX518190SX91000000054.000                    20181101MB1B                9I4    
8190           8190ZR01500           SX518190SX91000000003.000                    20181101MB1B                9I4    
8190           8190ZR01500           SX518190SX91000000039.000                    20181101MB1B                9I4    
8190           8190ZR02440           SX518190SX91000000001.000                    20181107MB1B                9I4    
8190           8190ZE22550           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190VAS1370           CLA08190CL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22520           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZG29650           CLA28190CL21000000180.000                    20181107MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZG29690           CLA28190CL21000000180.000                    20181107MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZG29670           CLA28190CL21000000180.000                    20181107MB1B                9I3    
8190           8190ZU06270           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZG29710           CLA28190CL21000000180.000                    20181107MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP61910           CLA08190CL21000000500.000                    20181107MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181107MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20181107MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20181107MB1B                9I3    
8190           8190VAS1330           SXA08190SX21000000060.000                    20181107MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62160           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181107MB1B                9I3    
8190           8190ZP62160           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181107MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181107MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181107MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22580           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20181107MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181107MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181107MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181107MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181107MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20181107MB1B                9I3    
