8190           8190ZY13520           VNA08190VN51000000120.000                    20181117MB1B                9I4    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20181117MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20181117MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZP63880           SXA08190SX21000000030.000                    20181117MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181117MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20181117MB1B                9I3    
