8190           8190ZU06190           FL518190FL91000000007.000                    20181127MB1B                9I4    
8190           8190ZT43980           FL518190FL91000000020.000                    20181127MB1B                9I4    
8190           8190ZU24290           FL518190FL91000000015.000                    20181127MB1B                9I4    
8190           8190ZT43760           FL518190FL91000000013.000                    20181127MB1B                9I4    
8190           8190ZQ13360           FL518190FL91000000060.000                    20181127MB1B                9I4    
8190           8190ZT43980           FL518190FL91000000040.000                    20181127MB1B                9I4    
8190           8190ZT43820           FL518190FL91000000009.000                    20181127MB1B                9I4    
8190           8190ZP66980           SXA08190VN91000000090.000                    20181127MB1B                9I4    
8190           8190ZY13600           VN518190VN91000000006.000                    20181127MB1B                9I4    
8190           8190ZY13600           VN518190VN91000000022.000                    20181127MB1B                9I4    
8190           8190ZC7783E           SX218190SA1R000000004.000                    20181127MB1B                9I4    
8190           8190WY9341C           SX218190SA1R000000021.000                    20181127MB1B                9I4    
8190           8190ZA5245C           SX218190SA1R000000003.000                    20181127MB1B                9I4    
8190           8190ZT43850           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP67380           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181127MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181127MB1B                9I3    
