8190           8190WZ91390           SX518190SX91000000002.000                    20181129MB1B                9I4    
8190           8190ZP67050           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181130MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181130MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181130MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181130MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181130MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181130MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20181130MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20181130MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20181130MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181130MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181130MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP62970           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZF36800           SXA28190SX21000000020.000                    20181130MB1B                9I3    
8190           8190ZF37200           SXA28190SX21000000020.000                    20181130MB1B                9I3    
8190           8190ZF37770           SXA28190SX21000000020.000                    20181130MB1B                9I3    
