8190           8190WZ17320           RC918191FSTK000000400.000                    20190108MB1B                9P1    
8190           8190WZ91100           SX518190SX91000000005.000                    20190103MB1B                9I4    
8190           8190ZZ32830           SX218190SX51000000003.000                    20190107MB1B                9I4    
8190           8190ZP67430           SXA08190SX21000000030.000                    20190108MB1B                9I4    
8190           8190ZP67550           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67480           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20190108MB1B                9I3    
8190           8190ZP66200           SXA08190SX21000000500.000                    20190108MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67090           SXA08190SX21000000100.000                    20190108MB1B                9I3    
8190           8190ZP67090           SXA08190SX21000000100.000                    20190108MB1B                9I3    
8190           8190ZP67090           SXA08190SX21000000100.000                    20190108MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66220           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66010           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZU11680           FL218190FL51000000005.000                    20190108MB1B                9I3    
8190           8190ZG2523B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2523B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2522B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2427B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2427B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2427B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20190108MB1B                9I3    
8190           8190ZG2523B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2428B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZU11680           FL218190FL51000000005.000                    20190108MB1B                9I3    
8190           8190ZG2429B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZU02370           FL218190FL51000000005.000                    20190108MB1B                9I3    
8190           8190ZG2421B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZU02370           FL218190FL51000000005.000                    20190108MB1B                9I3    
8190           8190ZG2431B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2433B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2521B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67760           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37330           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37140           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37340           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37350           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37600           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66590           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66720           SXA08190SX21000000060.000                    20190108MB1B                9I3    
8190           8190ZP67340           SXA08190SX21000000028.000                    20190108MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37610           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37620           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37120           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZF37370           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZP64540           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66560           SXA08190SX21000000050.000                    20190108MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20190108MB1B                9I3    
8190           8190VAS1350           CLA08190CL21000000060.000                    20190108MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP64190           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP64180           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20190108MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
8190           8190ZP63920           SXA08190SX21000000030.000                    20190108MB1B                9I3    
