8190           8190WZ45010           SX918191FSTK000000004.000                    20190215MB1B                9P1    
8190           8190ZZ42850           SX518190SX91000000003.000                    20190206MB1B                9I4    
8190           8190ZZ42870           SX518190SX91000000006.000                    20190206MB1B                9I4    
8190           8190ZQ87600           CL518190LA0R000000008.000                    20190208MB1B                9I4    
8190           8190ZJ29970           CL518190CL91000000014.000                    20190209MB1B                9I4    
8190           8190ZY89230           SX518190SX91000000001.000                    20190206MB1B                9I4    
8190           8190ZY89290           SX518190SX91000000006.000                    20190206MB1B                9I4    
8190           8190ZJ29990           CL518190CL91000000021.000                    20190209MB1B                9I4    
8190           8190ZQ86110           SX218190SA0R000000017.000                    20190215MB1B                9I4    
8190           8190ZQ94310           SX518190SX91000000013.000                    20190215MB1B                9I4    
8190           8190W53461B           CL518190CL91000000029.000                    20190209MB1B                9I4    
8190           8190VAQ2780           CL518190CL91000000001.000                    20190209MB1B                9I4    
8190           8190ZZ42840           SX518190SX91000000001.000                    20190206MB1B                9I4    
8190           8190W53460B           CL518190CL91000000050.000                    20190209MB1B                9I4    
8190           8190ZA5245C           SX218190SA1R000000002.000                    20190212MB1B                9I4    
8190           8190ZT96440           CL518190LA0R000000004.000                    20190208MB1B                9I4    
8190           8190W53463B           CL518190CL91000000060.000                    20190209MB1B                9I4    
8190           8190W53462B           CL518190CL91000000027.000                    20190209MB1B                9I4    
8190           8190ZA8986C           SX218190SA1R000000002.000                    20190212MB1B                9I4    
8190           8190ZY89250           SX518190SX91000000001.000                    20190206MB1B                9I4    
8190           8190ZA8986C           SX218190SA1R000000002.000                    20190212MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190208MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190211MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190212MB1B                9I3    
8190           8190ZA1493C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190211MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190209MB1B                9I3    
8190           8190W53460B           CL518190CLB9000000030.000                    20190215MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190208MB1B                9I3    
8190           8190ZY85890           SX518190SX91000000010.000                    20190207MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZA1493C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190212MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190ZQ92820           SX518190SX91000000015.000                    20190213MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190209MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190211MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190211MB1B                9I3    
8190           8190ZP64060           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZU06270           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190216MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20190216MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20190216MB1B                9I3    
8190           8190ZP64060           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP64060           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20190216MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190ZQ97010           SX518190SX91000000008.000                    20190216MB1B                9I3    
8190           8190ZU06560           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20190216MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20190216MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20190216MB1B                9I3    
8190           8190ZQ84600           SX518190SX91000000015.000                    20190216MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20190216MB1B                9I3    
8190           8190ZQ86080           SX518190SX91000000015.000                    20190216MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20190216MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20190216MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20190215MB1B                9I3    
8190           8190ZP63750           FLA08190FL51000000040.000                    20190215MB1B                9I3    
8190           8190ZA1493C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190ZY85890           SX518190SX91000000010.000                    20190214MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190ZY85890           SX518190SX91000000010.000                    20190211MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190212MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190208MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190212MB1B                9I3    
8190           8190ZK3811C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190W93546B           SX518190SX91000000005.000                    20190216MB1B                9I3    
8190           8190W93546B           SX518190SX91000000005.000                    20190216MB1B                9I3    
8190           8190ZT45380           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190W93546B           SX518190SX91000000005.000                    20190216MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20190216MB1B                9I3    
8190           8190W53463B           CL518190CLB9000000030.000                    20190215MB1B                9I3    
8190           8190W53462B           CL518190CLB9000000030.000                    20190215MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190212MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190212MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190ZJ3272C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190211MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190ZY85890           SX518190SX91000000010.000                    20190209MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190212MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190211MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190W53460B           CL518190CLB9000000030.000                    20190213MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9116C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20190216MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190208MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190214MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20190215MB1B                9I3    
8190           8190ZA1478C           SX218190SX51000000001.000                    20190213MB1B                9I3    
8190           8190W53463B           CL518190CLB9000000030.000                    20190215MB1B                9I3    
