8190           8190ZT26120           SX518190SX91000000060.000                    20190226MB1B                9I4    
8190           8190ZS01640           CL518190CL91000000006.000                    20190225MB1B                9I4    
8190           8190ZP64970           SXA08190SX21000000016.000                    20190226MB1B                9I4    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZV15070           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP66850           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62700           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62680           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP66830           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP66810           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP64050           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZP63970           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63940           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63550           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63460           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZP64050           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZP64000           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20190226MB1B                9I3    
8190           8190ZP63230           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP61900           CLA08190CL21000000500.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20190226MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20190226MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20190226MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20190226MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20190226MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20190226MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20190226MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20190226MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20190226MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20190226MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190226MB1B                9I3    
