8190           8190ZR45000           CL218190CL51000000120.000                    20171106MB1B                9I4    
8190           8190ZH50350           SX518190SX91000000001.000                    20171109MB1B                9I4    
8190           8190WK0455A           SX518190SX91000000008.000                    20171109MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171110MB1B                9I3    
8190           8190ZR45000           CL218190CL51000000020.000                    20171110MB1B                9I3    
8190           8190WK0455A           SX518190SX91000000008.000                    20171110MB1B                9I3    
8190           8190ZR45000           CL218190CL51000000020.000                    20171113MB1B                9I3    
8190           8190ZR45000           CL218190CL51000000020.000                    20171113MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171114MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ95270           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ96620           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ98720           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ95910           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171114MB1B                9I3    
8190           8190ZC58750           SXA18190SX21000000005.000                    20171114MB1B                9I3    
8190           8190ZC58750           SXA18190SX21000000005.000                    20171114MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171114MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171114MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171114MB1B                9I3    
