8190           8190ZY13600           VN518190VN91000000014.000                    20171204MB1B                9I4    
8190           8190ZQ89030           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZG2441B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZG2441B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ88190           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ88850           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ88850           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ85050           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ89030           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ89030           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZG2524B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86610           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZG2521B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZG2431B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ88850           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20171204MB1B                9I3    
8190           8190ZG2970C           CL218190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20171204MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20171204MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20171204MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20171204MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20171204MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20171204MB1B                9I3    
8190           8190ZG2964C           CL218190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20171204MB1B                9I3    
8190           8190ZG2961C           CL218190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZG2421B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ83560           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171204MB1B                9I3    
8190           8190ZG2961C           CL218190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZP66250           SXA08190SX21000000028.000                    20171204MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20171204MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ94910           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZQ94650           SX518190SX91000000015.000                    20171204MB1B                9I3    
