8190           8190ZY85890           SX518190SX91000000005.000                    20171204MB1B                9I4    
8190           8190ZP66010           SXA08190SX21000000030.000                    20171205MB1B                9I4    
8190           8190ZY85690           SX518190SX91000000007.000                    20171129MB1B                9I4    
8190           8190ZY51560           FLA08190FLA1000000050.000                    20171205MB1B                9I4    
8190           8190WF9812E           SX518190SX91000000015.000                    20171128MB1B                9I4    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20171205MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61590           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20171205MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20171205MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20171205MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20171205MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20171205MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20171205MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20171205MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20171205MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20171205MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171205MB1B                9I3    
8190           8190WF9195A           SX518190SX91000000025.000                    20171205MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20171205MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171205MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171205MB1B                9I3    
